2021-11-22 11:45:28,321 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:45:28,321 INFO       server Разбор сообщения {'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'}.
2021-11-22 11:45:28,321 INFO       server Добавление сообщения {'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'} в очередь.
2021-11-22 11:45:28,322 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'}, [{'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'}], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>], {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, 'test2': <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, 'test3': <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, 'test4': <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:45:28,323 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, {'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:45:28,323 INFO       server Отправлено сообщение {'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'} пользователю test3 пользователем test1.
2021-11-22 11:45:28,324 INFO       decos Произошел вызов функции process_message со следующими параметрами - ({'action': 'message', 'sender': 'test1', 'destination': 'test3', 'time': 1637570727.4731376, 'mess_text': 'hi'}, {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, 'test2': <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, 'test3': <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, 'test4': <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>}, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>]), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:17,261 INFO       decos Произошел вызов функции arg_parser со следующими параметрами - (), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:17,261 INFO       server Сервер запущен. Порт для подключения: 7777, адрес: . При отсутствии адреса сервер принимает соединения со любых адресов
2021-11-22 12:05:17,262 INFO       server Настройка сокета завершена.
2021-11-22 12:05:17,278 INFO       server Соединение с ('127.0.0.1', 58556) установлено
2021-11-22 12:05:17,285 INFO       server Соединение с ('127.0.0.1', 58557) установлено
2021-11-22 12:05:17,286 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58556)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:17,286 INFO       server Соединение с ('127.0.0.1', 58556) разорвано.
2021-11-22 12:05:17,286 INFO       server Соединение с ('127.0.0.1', 58558) установлено
2021-11-22 12:05:17,287 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58557)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:17,287 INFO       server Соединение с ('127.0.0.1', 58557) разорвано.
2021-11-22 12:05:17,298 INFO       server Соединение с ('127.0.0.1', 58559) установлено
2021-11-22 12:05:17,300 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58558)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:17,300 INFO       server Соединение с ('127.0.0.1', 58558) разорвано.
2021-11-22 12:05:18,310 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=316, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58559)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 12:05:18,310 INFO       server Соединение с ('127.0.0.1', 58559) разорвано.
